n,epsilon,dd,hh,Qsc_MACRS,inv_C_start,inv_C_end,invC_sum,FOMS,FOMS_norm_n,FOMS_norm_ne,logQ,logInvC,logFOMS,logFOMS_norm_n,logFOMS_norm_ne
2,3,1.2500000000e-01,2.5000000000e-01,1.4839800000e-09,4.0911200000e+11,6.9090400000e+11,1.1000160000e+12,2.5756046000e-02,1.2878023000e-02,4.2926743333e-03,-1.7657143904e+01,1.2041399002e+01,-1.5891208079e+00,-1.8901508036e+00,-2.3672720583e+00
2,3,1.2500000000e-01,5.0000000000e-01,9.9378300000e-10,6.8548500000e+11,8.7515200000e+11,1.5606370000e+12,1.6387420000e-02,8.1937100000e-03,2.7312366667e-03,-1.8005416873e+01,1.2193301899e+01,-1.7854894154e+00,-2.0865194111e+00,-2.5636406658e+00
2,3,1.2500000000e-01,1.0000000000e+00,5.5487600000e-10,1.0509700000e+12,1.1489100000e+12,2.1998800000e+12,7.2014050000e-03,3.6007025000e-03,1.2002341667e-03,-1.8511608119e+01,1.2342398991e+01,-2.1425827641e+00,-2.4436127598e+00,-2.9207340145e+00
2,3,2.5000000000e-01,3.9062500000e-03,1.9676700000e-09,1.0699353540e+10,2.3755200000e+11,2.4825135354e+11,1.0219275000e-02,5.1096375000e-03,1.7032125000e-03,-1.7412095472e+01,1.1394891625e+01,-1.9905799139e+00,-2.2916099095e+00,-2.7687311642e+00
2,3,2.5000000000e-01,7.8125000000e-03,1.9415100000e-09,2.1163024241e+10,3.0767400000e+11,3.2883702424e+11,1.3179147000e-02,6.5895735000e-03,2.1965245000e-03,-1.7423720736e+01,1.1516980709e+01,-1.8801126979e+00,-2.1811426935e+00,-2.6582639483e+00
2,3,2.5000000000e-01,1.5625000000e-02,1.8919300000e-09,4.1495869444e+10,3.7265500000e+11,4.1415086944e+11,1.5761455000e-02,7.8807275000e-03,2.6269091667e-03,-1.7446189872e+01,1.1617158577e+01,-1.8024036936e+00,-2.1034336893e+00,-2.5805549440e+00
2,3,2.5000000000e-01,3.1250000000e-02,1.8015500000e-09,8.0364652154e+10,4.3534200000e+11,5.1570665215e+11,1.7796051000e-02,8.8980255000e-03,2.9660085000e-03,-1.7488707360e+01,1.1712402733e+01,-1.7496763583e+00,-2.0507063540e+00,-2.5278276087e+00
2,3,2.5000000000e-01,6.2500000000e-02,1.6477100000e-09,1.5246000000e+11,5.0982600000e+11,6.6228600000e+11,1.9117603000e-02,9.5588015000e-03,3.1862671667e-03,-1.7566238445e+01,1.1821045575e+01,-1.7185665613e+00,-2.0195965569e+00,-2.4967178117e+00
2,3,2.5000000000e-01,1.2500000000e-01,1.4005900000e-09,2.7933700000e+11,6.0382700000e+11,8.8316400000e+11,1.8419991000e-02,9.2099955000e-03,3.0699985000e-03,-1.7707377958e+01,1.1946041358e+01,-1.7347105863e+00,-2.0357405820e+00,-2.5128618367e+00
2,3,2.5000000000e-01,2.5000000000e-01,1.0490400000e-09,4.8692100000e+11,7.3808300000e+11,1.2250040000e+12,1.4333452000e-02,7.1667260000e-03,2.3889086667e-03,-1.7958415904e+01,1.2088137507e+01,-1.8436492036e+00,-2.1446791993e+00,-2.6218004540e+00
