fold,n_val,qsc_r2_log10,invc_r2_log10,foms_direct_r2_log10,foms_phys_r2_log10,consistency_pearson,consistency_spearman
1,389,0.9889820208773017,0.9961913418956101,0.9837003406137228,0.9839778039604425,0.9584125280380249,0.9860544432643127
2,389,0.9780770931392908,0.9967938193585724,0.9561788365244865,0.9672200456261635,0.9326304793357849,0.9688980671886881
3,389,0.9873460084199905,0.9897343581542373,0.9709457773715258,0.9819779694080353,0.9575070142745972,0.97961547635308
4,389,0.9886087058112025,0.9958016467280686,0.9815920740365982,0.9833257794380188,0.934502363204956,0.9787920795712384
5,388,0.9884386928752065,0.995446018408984,0.984725235030055,0.9824202433228493,0.976351797580719,0.9953278410504488
