head,test_r2_log10,cv_r2_log10_mean,cv_r2_log10_std,v1_r2_log10,v2_r2_log10,v3_r2_log10,test_mae_log10
Qsc,0.9897663472220302,0.9862905042245984,0.0041426379453014806,0.9652161688863921,0.9090522474221565,0.9802045193853932,0.07629536092281342
invC,0.9966408077161759,0.9947934369090945,0.0025687466125106904,0.97258159797116,0.9908471802593762,0.9752271737244941,0.023143870756030083
FOMS_direct,0.9816584475338459,0.9754284527152777,0.010802653566005778,0.8719916149587302,0.9537933499508804,0.9653062248906931,0.14339448511600494
FOMS_phys,0.9841228518635035,0.9797843683511018,0.006320576282211796,0.8962275829840155,0.5517838485085886,0.9608574652370898,0.15261267125606537
