A,E,dd,hh,n,d (m),h1 (m),es.V0_1-es.V0_2 (V)
0,1,0.03125,0.00390625,16,1.8310546875E-6,5.859375E-5,-176.91529771603186
0,1,0.03125,0.0078125,16,3.662109375E-6,1.171875E-4,-204.5606599151238
0,1,0.03125,0.015625,16,7.32421875E-6,2.34375E-4,-222.09704553066751
0,1,0.03125,0.03125,16,1.46484375E-5,4.6875E-4,-229.10498395643037
0,1,0.03125,0.0625,16,2.9296875E-5,9.375E-4,-223.79384629773364
0,1,0.03125,0.125,16,5.859375E-5,0.001875,-214.38770984611347
0,1,0.03125,0.25,16,1.171875E-4,0.00375,-220.30131122115594
0,1,0.03125,0.5,16,2.34375E-4,0.0075,-247.5856637814904
0,1,0.03125,1,16,4.6875E-4,0.015,-292.4697161465065
0,1,0.0625,0.00390625,16,3.662109375E-6,5.859375E-5,-179.20061538775175
0,1,0.0625,0.0078125,16,7.32421875E-6,1.171875E-4,-207.3346897185661
0,1,0.0625,0.015625,16,1.46484375E-5,2.34375E-4,-226.24845034284664
0,1,0.0625,0.03125,16,2.9296875E-5,4.6875E-4,-236.04299733839616
0,1,0.0625,0.0625,16,5.859375E-5,9.375E-4,-235.1990378472982
0,1,0.0625,0.125,16,1.171875E-4,0.001875,-235.71820581733576
0,1,0.0625,0.25,16,2.34375E-4,0.00375,-259.03533489798014
0,1,0.0625,0.5,16,4.6875E-4,0.0075,-313.09860426123976
0,1,0.0625,1,16,9.375E-4,0.015,-402.14746703252547
0,1,0.125,0.00390625,16,7.32421875E-6,5.859375E-5,-183.32055867126252
0,1,0.125,0.0078125,16,1.46484375E-5,1.171875E-4,-212.85320559516532
0,1,0.125,0.015625,16,2.9296875E-5,2.34375E-4,-234.3464078900367
0,1,0.125,0.03125,16,5.859375E-5,4.6875E-4,-248.91995142434877
0,1,0.125,0.0625,16,1.171875E-4,9.375E-4,-257.11129248643965
0,1,0.125,0.125,16,2.34375E-4,0.001875,-277.44720869038974
0,1,0.125,0.25,16,4.6875E-4,0.00375,-336.7001050840154
0,1,0.125,0.5,16,9.375E-4,0.0075,-447.82290199473135
0,1,0.125,1,16,0.001875,0.015,-626.1665932060965
0,1,0.25,0.00390625,16,1.46484375E-5,5.859375E-5,-191.6249134690101
0,1,0.25,0.0078125,16,2.9296875E-5,1.171875E-4,-223.4922453698262
0,1,0.25,0.015625,16,5.859375E-5,2.34375E-4,-249.95162936363056
0,1,0.25,0.03125,16,1.171875E-4,4.6875E-4,-273.4238934833411
0,1,0.25,0.0625,16,2.34375E-4,9.375E-4,-301.4037479935455
0,1,0.25,0.125,16,4.6875E-4,0.001875,-363.5863858865917
0,1,0.25,0.25,16,9.375E-4,0.00375,-494.7073874573075
0,1,0.25,0.5,16,0.001875,0.0075,-714.9910781353063
0,1,0.25,1,16,0.00375,0.015,-1033.311783146176
0,1,0.5,0.00390625,16,2.9296875E-5,5.859375E-5,-207.04136224630324
0,1,0.5,0.0078125,16,5.859375E-5,1.171875E-4,-243.02487494488457
0,1,0.5,0.015625,16,1.171875E-4,2.34375E-4,-279.31475898571887
0,1,0.5,0.03125,16,2.34375E-4,4.6875E-4,-322.7876535194148
0,1,0.5,0.0625,16,4.6875E-4,9.375E-4,-394.84161359741233
0,1,0.5,0.125,16,9.375E-4,0.001875,-538.6054451391312
0,1,0.5,0.25,16,0.001875,0.00375,-802.9040665491423
0,1,0.5,0.5,16,0.00375,0.0075,-1194.0911008062421
0,1,0.5,1,16,0.0075,0.015,-1671.4614751884558
0,1,1,0.00390625,16,5.859375E-5,5.859375E-5,-232.7459804322316
0,1,1,0.0078125,16,1.171875E-4,1.171875E-4,-278.4868262741561
0,1,1,0.015625,16,2.34375E-4,2.34375E-4,-335.5054756074421
0,1,1,0.03125,16,4.6875E-4,4.6875E-4,-423.54013846891655
0,1,1,0.0625,16,9.375E-4,9.375E-4,-582.0865817265002
0,1,1,0.125,16,0.001875,0.001875,-877.6424651151335
0,1,1,0.25,16,0.00375,0.00375,-1346.8134658248869
0,1,1,0.5,16,0.0075,0.0075,-1936.2126972482201
0,1,1,1,16,0.015,0.015,-2507.8457084052798
0,2,0.03125,0.00390625,16,1.8310546875E-6,5.859375E-5,-154.9880190847133
