A,E,dd,hh,n,d (m),h1 (m),es.V0_1-es.V0_2 (V)
0,1,0.03125,0.00390625,32,1.8310546875E-6,5.859375E-5,-92.68465246662558
0,1,0.03125,0.0078125,32,3.662109375E-6,1.171875E-4,-104.49259434374252
0,1,0.03125,0.015625,32,7.32421875E-6,2.34375E-4,-109.04741847319549
0,1,0.03125,0.03125,32,1.46484375E-5,4.6875E-4,-107.7929129602183
0,1,0.03125,0.0625,32,2.9296875E-5,9.375E-4,-105.20334295840024
0,1,0.03125,0.125,32,5.859375E-5,0.001875,-108.99225256641888
0,1,0.03125,0.25,32,1.171875E-4,0.00375,-121.10208311670334
0,1,0.03125,0.5,32,2.34375E-4,0.0075,-152.2739191984699
0,1,0.03125,1,32,4.6875E-4,0.015,-203.81073709964548
0,1,0.0625,0.00390625,32,3.662109375E-6,5.859375E-5,-94.06740073297104
0,1,0.0625,0.0078125,32,7.32421875E-6,1.171875E-4,-106.71636463082088
0,1,0.0625,0.015625,32,1.46484375E-5,2.34375E-4,-112.65028929398898
0,1,0.0625,0.03125,32,2.9296875E-5,4.6875E-4,-114.20536385343085
0,1,0.0625,0.0625,32,5.859375E-5,9.375E-4,-116.96036672057484
0,1,0.0625,0.125,32,1.171875E-4,0.001875,-131.4068455224215
0,1,0.0625,0.25,32,2.34375E-4,0.00375,-163.72154267235098
0,1,0.0625,0.5,32,4.6875E-4,0.0075,-225.67156782304517
0,1,0.0625,1,32,9.375E-4,0.015,-326.8926275135901
0,1,0.125,0.00390625,32,7.32421875E-6,5.859375E-5,-97.07923883819882
0,1,0.125,0.0078125,32,1.46484375E-5,1.171875E-4,-110.97362594535475
0,1,0.125,0.015625,32,2.9296875E-5,2.34375E-4,-119.54028859728527
0,1,0.125,0.03125,32,5.859375E-5,4.6875E-4,-126.56650266657806
0,1,0.125,0.0625,32,1.171875E-4,9.375E-4,-140.33971422895962
0,1,0.125,0.125,32,2.34375E-4,0.001875,-177.02627675367125
0,1,0.125,0.25,32,4.6875E-4,0.00375,-249.70952245772537
0,1,0.125,0.5,32,9.375E-4,0.0075,-373.53435937968624
0,1,0.125,1,32,0.001875,0.015,-563.3121005166732
0,1,0.25,0.00390625,32,1.46484375E-5,5.859375E-5,-102.9576453602643
0,1,0.25,0.0078125,32,2.9296875E-5,1.171875E-4,-119.25152264930735
0,1,0.25,0.015625,32,5.859375E-5,2.34375E-4,-133.23295359419703
0,1,0.25,0.03125,32,1.171875E-4,4.6875E-4,-151.07269186828893
0,1,0.25,0.0625,32,2.34375E-4,9.375E-4,-188.30005120861682
0,1,0.25,0.125,32,4.6875E-4,0.001875,-271.1188064222456
0,1,0.25,0.25,32,9.375E-4,0.00375,-420.59099765248027
0,1,0.25,0.5,32,0.001875,0.0075,-652.4802971280367
0,1,0.25,1,32,0.00375,0.015,-972.975312590622
0,1,0.5,0.00390625,32,2.9296875E-5,5.859375E-5,-113.48378492019273
0,1,0.5,0.0078125,32,5.859375E-5,1.171875E-4,-135.01929782618237
0,1,0.5,0.015625,32,1.171875E-4,2.34375E-4,-159.96678297361169
0,1,0.5,0.03125,32,2.34375E-4,4.6875E-4,-201.28826873633477
0,1,0.5,0.0625,32,4.6875E-4,9.375E-4,-288.9564195802261
0,1,0.5,0.125,32,9.375E-4,0.001875,-459.10928381284236
0,1,0.5,0.25,32,0.001875,0.00375,-740.0398827851966
0,1,0.5,0.5,32,0.00375,0.0075,-1133.162826580552
0,1,0.5,1,32,0.0075,0.015,-1606.2905230535894
0,1,1,0.00390625,32,5.859375E-5,5.859375E-5,-132.83866030799987
0,1,1,0.0078125,32,1.171875E-4,1.171875E-4,-165.2607649373826
0,1,1,0.015625,32,2.34375E-4,2.34375E-4,-213.52928739232271
0,1,1,0.03125,32,4.6875E-4,4.6875E-4,-306.38942890962005
0,1,1,0.0625,32,9.375E-4,9.375E-4,-488.7582373176383
0,1,1,0.125,32,0.001875,0.001875,-809.34039456385
0,1,1,0.25,32,0.00375,0.00375,-1284.8517797300822
0,1,1,0.5,32,0.0075,0.0075,-1869.4215372449319
0,1,1,1,32,0.015,0.015,-2436.877317040734
0,2,0.03125,0.00390625,32,1.8310546875E-6,5.859375E-5,-82.00059131980257
0,2,0.03125,0.0078125,32,3.662109375E-6,1.171875E-4,-95.85451020757625
0,2,0.03125,0.015625,32,7.32421875E-6,2.34375E-4,-103.48211686704221
0,2,0.03125,0.03125,32,1.46484375E-5,4.6875E-4,-107.65152008539519
0,2,0.03125,0.0625,32,2.9296875E-5,9.375E-4,-110.04377479184868
0,2,0.03125,0.125,32,5.859375E-5,0.001875,-117.75411786555384
0,2,0.03125,0.25,32,1.171875E-4,0.00375,-133.2149168416732
0,2,0.03125,0.5,32,2.34375E-4,0.0075,-171.5527693385015
0,2,0.03125,1,32,4.6875E-4,0.015,-234.3340344128974
0,2,0.0625,0.00390625,32,3.662109375E-6,5.859375E-5,-84.27169892393601
0,2,0.0625,0.0078125,32,7.32421875E-6,1.171875E-4,-99.4119057295938
0,2,0.0625,0.015625,32,1.46484375E-5,2.34375E-4,-109.27859097849523
0,2,0.0625,0.03125,32,2.9296875E-5,4.6875E-4,-117.10621980967056
0,2,0.0625,0.0625,32,5.859375E-5,9.375E-4,-126.06879548162037
0,2,0.0625,0.125,32,1.171875E-4,0.001875,-145.50004419254702
0,2,0.0625,0.25,32,2.34375E-4,0.00375,-182.8732137099695
0,2,0.0625,0.5,32,4.6875E-4,0.0075,-254.45945342492618
0,2,0.0625,1,32,9.375E-4,0.015,-373.3376525440508
0,2,0.125,0.00390625,32,7.32421875E-6,5.859375E-5,-88.72141460241176
0,2,0.125,0.0078125,32,1.46484375E-5,1.171875E-4,-105.77884945189061
0,2,0.125,0.015625,32,2.9296875E-5,2.34375E-4,-119.18880929030465
0,2,0.125,0.03125,32,5.859375E-5,4.6875E-4,-133.4416138418482
0,2,0.125,0.0625,32,1.171875E-4,9.375E-4,-154.21109032225868
0,2,0.125,0.125,32,2.34375E-4,0.001875,-196.7215925892072
0,2,0.125,0.25,32,4.6875E-4,0.00375,-276.4799670943738
0,2,0.125,0.5,32,9.375E-4,0.0075,-417.0935063297775
0,2,0.125,1,32,0.001875,0.015,-633.6650929909086
0,2,0.25,0.00390625,32,1.46484375E-5,5.859375E-5,-96.78218380012454
0,2,0.25,0.0078125,32,2.9296875E-5,1.171875E-4,-116.91980142213373
0,2,0.25,0.015625,32,5.859375E-5,2.34375E-4,-136.53696149964608
0,2,0.25,0.03125,32,1.171875E-4,4.6875E-4,-162.184258199455
0,2,0.25,0.0625,32,2.34375E-4,9.375E-4,-206.73232892676987
0,2,0.25,0.125,32,4.6875E-4,0.001875,-296.29135160560895
0,2,0.25,0.25,32,9.375E-4,0.00375,-458.5369376619154
0,2,0.25,0.5,32,0.001875,0.0075,-717.4233764955201
0,2,0.25,1,32,0.00375,0.015,-1073.4869265794714
0,2,0.5,0.00390625,32,2.9296875E-5,5.859375E-5,-110.11177719497493
0,2,0.5,0.0078125,32,5.859375E-5,1.171875E-4,-135.8566244620994
