A,E,dd,hh,n,d (m),h1 (m),es.V0_1-es.V0_2 (V)
0,1,0.03125,0.00390625,4,1.8310546875E-6,5.859375E-5,-534.5780848212622
0,1,0.03125,0.0078125,4,3.662109375E-6,1.171875E-4,-647.4085556078521
0,1,0.03125,0.015625,4,7.32421875E-6,2.34375E-4,-750.2897464296975
0,1,0.03125,0.03125,4,1.46484375E-5,4.6875E-4,-820.7785169990623
0,1,0.03125,0.0625,4,2.9296875E-5,9.375E-4,-862.7668626044049
0,1,0.03125,0.125,4,5.859375E-5,0.001875,-857.7351088956782
0,1,0.03125,0.25,4,1.171875E-4,0.00375,-814.0913387331229
0,1,0.03125,0.5,4,2.34375E-4,0.0075,-778.5935925677451
0,1,0.03125,1,4,4.6875E-4,0.015,-785.6006003940165
0,1,0.0625,0.00390625,4,3.662109375E-6,5.859375E-5,-539.321604837122
0,1,0.0625,0.0078125,4,7.32421875E-6,1.171875E-4,-653.6964745890327
0,1,0.0625,0.015625,4,1.46484375E-5,2.34375E-4,-758.2721725829351
0,1,0.0625,0.03125,4,2.9296875E-5,4.6875E-4,-830.9945060425487
0,1,0.0625,0.0625,4,5.859375E-5,9.375E-4,-876.7245799027862
0,1,0.0625,0.125,4,1.171875E-4,0.001875,-879.543582378341
0,1,0.0625,0.25,4,2.34375E-4,0.00375,-846.0295745630842
0,1,0.0625,0.5,4,4.6875E-4,0.0075,-826.4303419211705
0,1,0.0625,1,4,9.375E-4,0.015,-864.1345356578685
0,1,0.125,0.00390625,4,7.32421875E-6,5.859375E-5,-549.5276633915087
0,1,0.125,0.0078125,4,1.46484375E-5,1.171875E-4,-666.4505652967705
0,1,0.125,0.015625,4,2.9296875E-5,2.34375E-4,-770.7477968980104
0,1,0.125,0.03125,4,5.859375E-5,4.6875E-4,-851.2406418925176
0,1,0.125,0.0625,4,1.171875E-4,9.375E-4,-904.5309657233081
0,1,0.125,0.125,4,2.34375E-4,0.001875,-918.8028627051424
0,1,0.125,0.25,4,4.6875E-4,0.00375,-907.1197409675963
0,1,0.125,0.5,4,9.375E-4,0.0075,-928.1010525087706
0,1,0.125,1,4,0.001875,0.015,-1033.7322047236419
0,1,0.25,0.00390625,4,1.46484375E-5,5.859375E-5,-568.658038128908
0,1,0.25,0.0078125,4,2.9296875E-5,1.171875E-4,-688.8112409445885
0,1,0.25,0.015625,4,5.859375E-5,2.34375E-4,-800.4479720060584
0,1,0.25,0.03125,4,1.171875E-4,4.6875E-4,-887.5039076860621
0,1,0.25,0.0625,4,2.34375E-4,9.375E-4,-956.1892735800009
0,1,0.25,0.125,4,4.6875E-4,0.001875,-993.7995463709624
0,1,0.25,0.25,4,9.375E-4,0.00375,-1033.462646175848
0,1,0.25,0.5,4,0.001875,0.0075,-1141.421486499682
0,1,0.25,1,4,0.00375,0.015,-1373.512441748448
0,1,0.5,0.00390625,4,2.9296875E-5,5.859375E-5,-607.3541885966266
0,1,0.5,0.0078125,4,5.859375E-5,1.171875E-4,-731.0990811857613
0,1,0.5,0.015625,4,1.171875E-4,2.34375E-4,-852.0398828198677
0,1,0.5,0.03125,4,2.34375E-4,4.6875E-4,-954.4586150855271
0,1,0.5,0.0625,4,4.6875E-4,9.375E-4,-1048.2088092745685
0,1,0.5,0.125,4,9.375E-4,0.001875,-1144.9616056917973
0,1,0.5,0.25,4,0.001875,0.00375,-1287.8483377670534
0,1,0.5,0.5,4,0.00375,0.0075,-1553.8378448165986
