A,E,dd,hh,n,d (m),h1 (m),es.V0_1-es.V0_2 (V)
0,1,0.03125,0.00390625,16,1.8310546875E-6,5.859375E-5,-1.863687270075705
0,1,0.03125,0.0078125,16,3.662109375E-6,1.171875E-4,-3.527003157098165
0,1,0.03125,0.015625,16,7.32421875E-6,2.34375E-4,-6.548106161015618
0,1,0.03125,0.03125,16,1.46484375E-5,4.6875E-4,-11.94426634239041
0,1,0.03125,0.0625,16,2.9296875E-5,9.375E-4,-21.522974141483594
0,1,0.03125,0.125,16,5.859375E-5,0.001875,-38.526139649389975
0,1,0.03125,0.25,16,1.171875E-4,0.00375,-68.46978668057744
0,1,0.03125,0.5,16,2.34375E-4,0.0075,-118.25418931259492
0,1,0.03125,1,16,4.6875E-4,0.015,-196.29366894073303
0,1,0.0625,0.00390625,16,3.662109375E-6,5.859375E-5,-3.7155190214028977
0,1,0.0625,0.0078125,16,7.32421875E-6,1.171875E-4,-7.01935685366117
0,1,0.0625,0.015625,16,1.46484375E-5,2.34375E-4,-13.036325518624032
0,1,0.0625,0.03125,16,2.9296875E-5,4.6875E-4,-23.684543292001553
0,1,0.0625,0.0625,16,5.859375E-5,9.375E-4,-42.23973584289199
0,1,0.0625,0.125,16,1.171875E-4,0.001875,-74.88060839494926
0,1,0.0625,0.25,16,2.34375E-4,0.00375,-131.16442575222416
0,1,0.0625,0.5,16,4.6875E-4,0.0075,-220.7022419603795
0,1,0.0625,1,16,9.375E-4,0.015,-352.3466964842783
0,1,0.125,0.00390625,16,7.32421875E-6,5.859375E-5,-7.388213662584725
0,1,0.125,0.0078125,16,1.46484375E-5,1.171875E-4,-13.93679444907826
0,1,0.125,0.015625,16,2.9296875E-5,2.34375E-4,-25.802520204160057
0,1,0.125,0.03125,16,5.859375E-5,4.6875E-4,-46.38670645735702
0,1,0.125,0.0625,16,1.171875E-4,9.375E-4,-81.99747864171714
0,1,0.125,0.125,16,2.34375E-4,0.001875,-143.51808448713663
0,1,0.125,0.25,16,4.6875E-4,0.00375,-245.811919174183
0,1,0.125,0.5,16,9.375E-4,0.0075,-399.6124092649386
0,1,0.125,1,16,0.001875,0.015,-611.8632401573942
0,1,0.25,0.00390625,16,1.46484375E-5,5.859375E-5,-14.65403533630868
0,1,0.25,0.0078125,16,2.9296875E-5,1.171875E-4,-27.50543696903837
0,1,0.25,0.015625,16,5.859375E-5,2.34375E-4,-50.47515323824197
0,1,0.25,0.03125,16,1.171875E-4,4.6875E-4,-89.78832702494464
0,1,0.25,0.0625,16,2.34375E-4,9.375E-4,-156.74942673754856
0,1,0.25,0.125,16,4.6875E-4,0.001875,-269.1463372767871
0,1,0.25,0.25,16,9.375E-4,0.00375,-447.47677435369843
0,1,0.25,0.5,16,0.001875,0.0075,-701.3072531067982
0,1,0.25,1,16,0.00375,0.015,-1031.980927047825
0,1,0.5,0.00390625,16,2.9296875E-5,5.859375E-5,-28.860759512108984
0,1,0.5,0.0078125,16,5.859375E-5,1.171875E-4,-53.778808838022684
0,1,0.5,0.015625,16,1.171875E-4,2.34375E-4,-97.18105907967204
0,1,0.5,0.03125,16,2.34375E-4,4.6875E-4,-170.62457272699862
0,1,0.5,0.0625,16,4.6875E-4,9.375E-4,-292.62125011098914
0,1,0.5,0.125,16,9.375E-4,0.001875,-490.0909857846932
0,1,0.5,0.25,16,0.001875,0.00375,-789.535415560628
0,1,0.5,0.5,16,0.00375,0.0075,-1192.798294667673
0,1,0.5,1,16,0.0075,0.015,-1671.3771459802765
0,1,1,0.00390625,16,5.859375E-5,5.859375E-5,-56.16077054381003
0,1,1,0.0078125,16,1.171875E-4,1.171875E-4,-102.90802904853876
0,1,1,0.015625,16,2.34375E-4,2.34375E-4,-183.01280828750726
0,1,1,0.03125,16,4.6875E-4,4.6875E-4,-315.53879859426905
0,1,1,0.0625,16,9.375E-4,9.375E-4,-529.3378518811405
0,1,1,0.125,16,0.001875,0.001875,-863.7921941126315
0,1,1,0.25,16,0.00375,0.00375,-1345.5788416679704
0,1,1,0.5,16,0.0075,0.0075,-1936.2259027367827
0,1,1,1,16,0.015,0.015,-2507.879388426103
0,2,0.03125,0.00390625,16,1.8310546875E-6,5.859375E-5,-1.94129084932365
0,2,0.03125,0.0078125,16,3.662109375E-6,1.171875E-4,-3.759851700772196
0,2,0.03125,0.015625,16,7.32421875E-6,2.34375E-4,-7.193876317727662
0,2,0.03125,0.03125,16,1.46484375E-5,4.6875E-4,-13.577262307824363
0,2,0.03125,0.0625,16,2.9296875E-5,9.375E-4,-25.270399061910467
0,2,0.03125,0.125,16,5.859375E-5,0.001875,-46.25712514745403
0,2,0.03125,0.25,16,1.171875E-4,0.00375,-83.00674390747801
0,2,0.03125,0.5,16,2.34375E-4,0.0075,-143.30857440476507
0,2,0.03125,1,16,4.6875E-4,0.015,-235.05100691852763
0,2,0.0625,0.00390625,16,3.662109375E-6,5.859375E-5,-3.8685183380660746
