n,A,E,dd,d,hh,h,V
2,0.0,1,1.0,0.00375,0.25,0.00375,-1807.27429
2,0.0,1,1.0,0.0075,0.5,0.0075,-2478.716854
2,0.0,1,1.0,0.015,1.0,0.015,-3080.709075
2,0.0,2,0.03125,1.83e-06,0.00390625,5.86e-05,-2.023039701
2,0.0,2,0.03125,3.66e-06,0.0078125,0.000117,-4.00006526
2,0.0,2,0.03125,7.32e-06,0.015625,0.000234,-7.855671941
2,0.0,2,0.03125,1.46e-05,0.03125,0.000469,-15.28289761
2,0.0,2,0.03125,2.93e-05,0.0625,0.000938,-29.24305434
2,0.0,2,0.03125,5.86e-05,0.125,0.001875,-54.51076703
2,0.0,2,0.03125,0.000117,0.25,0.00375,-98.73073484
2,0.0,2,0.03125,0.000234,0.5,0.0075,-172.847361
2,0.0,2,0.03125,0.000469,1.0,0.015,-292.7548693
2,0.0,2,0.0625,3.66e-06,0.00390625,5.86e-05,-4.039195902
2,0.0,2,0.0625,7.32e-06,0.0078125,0.000117,-7.987160648
2,0.0,2,0.0625,1.46e-05,0.015625,0.000234,-15.67455355
2,0.0,2,0.0625,2.93e-05,0.03125,0.000469,-30.43044484
2,0.0,2,0.0625,5.86e-05,0.0625,0.000938,-57.93130662
2,0.0,2,0.0625,0.000117,0.125,0.001875,-107.422341
2,0.0,2,0.0625,0.000234,0.25,0.00375,-192.3784248
2,0.0,2,0.0625,0.000469,0.5,0.0075,-328.6648348
2,0.0,2,0.0625,0.000938,1.0,0.015,-537.8197617
2,0.0,2,0.125,7.32e-06,0.00390625,5.86e-05,-8.071426585
2,0.0,2,0.125,1.46e-05,0.0078125,0.000117,-15.93827703
2,0.0,2,0.125,2.93e-05,0.015625,0.000234,-31.19174918
2,0.0,2,0.125,5.86e-05,0.03125,0.000469,-60.30411857
2,0.0,2,0.125,0.000117,0.0625,0.000938,-114.1891185
2,0.0,2,0.125,0.000234,0.125,0.001875,-209.3673956
2,0.0,2,0.125,0.000469,0.25,0.00375,-366.4616241
2,0.0,2,0.125,0.000938,0.5,0.0075,-606.1290825
2,0.0,2,0.125,0.001875,1.0,0.015,-943.8234356
2,0.0,2,0.25,1.46e-05,0.00390625,5.86e-05,-16.08724648
2,0.0,2,0.25,2.93e-05,0.0078125,0.000117,-31.71551086
2,0.0,2,0.25,5.86e-05,0.015625,0.000234,-61.83731074
2,0.0,2,0.25,0.000117,0.03125,0.000469,-118.6856747
2,0.0,2,0.25,0.000234,0.0625,0.000938,-222.1769941
2,0.0,2,0.25,0.000469,0.125,0.001875,-398.7888427
2,0.0,2,0.25,0.000938,0.25,0.00375,-676.7659534
2,0.0,2,0.25,0.001875,0.5,0.0075,-1068.344349
2,0.0,2,0.25,0.00375,1.0,0.015,-1554.126494
2,0.0,2,0.5,2.93e-05,0.00390625,5.86e-05,-31.99749078
2,0.0,2,0.5,5.86e-05,0.0078125,0.000117,-62.78901064
2,0.0,2,0.5,0.000117,0.015625,0.000234,-121.5953947
2,0.0,2,0.5,0.000234,0.03125,0.000469,-230.7569024
2,0.0,2,0.5,0.000469,0.0625,0.000938,-422.8688505
2,0.0,2,0.5,0.000938,0.125,0.001875,-736.1960439
2,0.0,2,0.5,0.001875,0.25,0.00375,-1194.435825
2,0.0,2,0.5,0.00375,0.5,0.0075,-1768.607658
2,0.0,2,0.5,0.0075,1.0,0.015,-2369.030544
2,0.0,2,1.0,5.86e-05,0.00390625,5.86e-05,-63.2775675
2,0.0,2,1.0,0.000117,0.0078125,0.000117,-123.2859999
2,0.0,2,1.0,0.000234,0.015625,0.000234,-236.1850975
2,0.0,2,1.0,0.000469,0.03125,0.000469,-438.4809901
2,0.0,2,1.0,0.000938,0.0625,0.000938,-779.0556023
2,0.0,2,1.0,0.001875,0.125,0.001875,-1296.820672
2,0.0,2,1.0,0.00375,0.25,0.00375,-1977.472323
2,0.0,2,1.0,0.0075,0.5,0.0075,-2705.768755
2,0.0,2,1.0,0.015,1.0,0.015,-3302.630404
2,0.0,3,0.03125,1.83e-06,0.00390625,5.86e-05,-2.031672423
2,0.0,3,0.03125,3.66e-06,0.0078125,0.000117,-4.029498864
2,0.0,3,0.03125,7.32e-06,0.015625,0.000234,-7.952952307
2,0.0,3,0.03125,1.46e-05,0.03125,0.000469,-15.59429495
2,0.0,3,0.03125,2.93e-05,0.0625,0.000938,-30.20227514
