A,E,dd,hh,n,d (m),h1 (m),es.V0_1-es.V0_2 (V)
0,2,0.125,0.00390625,32,7.32421875E-6,5.859375E-5,-7.326662890186057
0,2,0.125,0.0078125,32,1.46484375E-5,1.171875E-4,-13.934716972527575
0,2,0.125,0.015625,32,2.9296875E-5,2.34375E-4,-25.92946849775478
0,2,0.125,0.03125,32,5.859375E-5,4.6875E-4,-47.62796043326428
0,2,0.125,0.0625,32,1.171875E-4,9.375E-4,-85.71241150380389
0,2,0.125,0.125,32,2.34375E-4,0.001875,-151.001259985454
0,2,0.125,0.25,32,4.6875E-4,0.00375,-255.83805766363562
0,2,0.125,0.5,32,9.375E-4,0.0075,-411.93599134929923
0,2,0.125,1,32,0.001875,0.015,-633.199875661224
0,2,0.25,0.00390625,32,1.46484375E-5,5.859375E-5,-14.418904724140305
0,2,0.25,0.0078125,32,2.9296875E-5,1.171875E-4,-27.206144757632117
0,2,0.25,0.015625,32,5.859375E-5,2.34375E-4,-50.04660894653247
0,2,0.25,0.03125,32,1.171875E-4,4.6875E-4,-89.73905305364698
0,2,0.25,0.0625,32,2.34375E-4,9.375E-4,-158.28853260875528
0,2,0.25,0.125,32,4.6875E-4,0.001875,-272.96190456308824
0,2,0.25,0.25,32,9.375E-4,0.00375,-453.3752054548212
0,2,0.25,0.5,32,0.001875,0.0075,-718.2764801979847
0,2,0.25,1,32,0.00375,0.015,-1073.707252204601
0,2,0.5,0.00390625,32,2.9296875E-5,5.859375E-5,-28.040359681331324
0,2,0.5,0.0078125,32,5.859375E-5,1.171875E-4,-52.061123569477836
0,2,0.5,0.015625,32,1.171875E-4,2.34375E-4,-93.93178134992209
0,2,0.5,0.03125,32,2.34375E-4,4.6875E-4,-165.284273798125
0,2,0.5,0.0625,32,4.6875E-4,9.375E-4,-286.04300057538785
0,2,0.5,0.125,32,9.375E-4,0.001875,-484.9332635184226
0,2,0.5,0.25,32,0.001875,0.00375,-794.1785198510131
0,2,0.5,0.5,32,0.00375,0.0075,-1225.422475719035
0,2,0.5,1,32,0.0075,0.015,-1733.7697099373452
0,2,1,0.00390625,32,5.859375E-5,5.859375E-5,-53.6045314090976
0,2,1,0.0078125,32,1.171875E-4,1.171875E-4,-97.19692840818222
0,2,1,0.015625,32,2.34375E-4,2.34375E-4,-171.76469174069626
0,2,1,0.03125,32,4.6875E-4,4.6875E-4,-297.4936003594004
0,2,1,0.0625,32,9.375E-4,9.375E-4,-507.99468091855323
0,2,1,0.125,32,0.001875,0.001875,-850.5281267917778
0,2,1,0.25,32,0.00375,0.00375,-1356.5958537463446
0,2,1,0.5,32,0.0075,0.0075,-1983.9004146424118
0,2,1,1,32,0.015,0.015,-2573.6655959527907
0,3,0.03125,0.00390625,32,1.8310546875E-6,5.859375E-5,-1.907878745754715
0,3,0.03125,0.0078125,32,3.662109375E-6,1.171875E-4,-3.6761522942391975
0,3,0.03125,0.015625,32,7.32421875E-6,2.34375E-4,-7.068511452586311
0,3,0.03125,0.03125,32,1.46484375E-5,4.6875E-4,-13.38490982178403
0,3,0.03125,0.0625,32,2.9296875E-5,9.375E-4,-25.033744410044925
0,3,0.03125,0.125,32,5.859375E-5,0.001875,-46.43807885072951
0,3,0.03125,0.25,32,1.171875E-4,0.00375,-82.9839855383783
0,3,0.03125,0.5,32,2.34375E-4,0.0075,-141.24905236257416
0,3,0.03125,1,32,4.6875E-4,0.015,-228.21083370573257
0,3,0.0625,0.00390625,32,3.662109375E-6,5.859375E-5,-3.782780978436172
0,3,0.0625,0.0078125,32,7.32421875E-6,1.171875E-4,-7.288848076790673
0,3,0.0625,0.015625,32,1.46484375E-5,2.34375E-4,-13.9381657315396
0,3,0.0625,0.03125,32,2.9296875E-5,4.6875E-4,-26.173224185838343
0,3,0.0625,0.0625,32,5.859375E-5,9.375E-4,-48.24160400247142
0,3,0.0625,0.125,32,1.171875E-4,0.001875,-87.03057668853128
0,3,0.0625,0.25,32,2.34375E-4,0.00375,-151.49066977415714
0,3,0.0625,0.5,32,4.6875E-4,0.0075,-250.71353191636615
0,3,0.0625,1,32,9.375E-4,0.015,-395.1374619202245
0,3,0.125,0.00390625,32,7.32421875E-6,5.859375E-5,-7.477244066127497
0,3,0.125,0.0078125,32,1.46484375E-5,1.171875E-4,-14.350579357037208
0,3,0.125,0.015625,32,2.9296875E-5,2.34375E-4,-26.982411247737712
0,3,0.125,0.03125,32,5.859375E-5,4.6875E-4,-49.99870498871147
0,3,0.125,0.0625,32,1.171875E-4,9.375E-4,-90.34100702453566
0,3,0.125,0.125,32,2.34375E-4,0.001875,-159.1477798917257
0,3,0.125,0.25,32,4.6875E-4,0.00375,-269.99849569611985
0,3,0.125,0.5,32,9.375E-4,0.0075,-437.57382573764005
0,3,0.125,1,32,0.001875,0.015,-677.7906515646986
0,3,0.25,0.00390625,32,1.46484375E-5,5.859375E-5,-14.687880234364286
0,3,0.25,0.0078125,32,2.9296875E-5,1.171875E-4,-27.939565358751985
0,3,0.25,0.015625,32,5.859375E-5,2.34375E-4,-51.831777513460395
0,3,0.25,0.03125,32,1.171875E-4,4.6875E-4,-93.46236080471589
0,3,0.25,0.0625,32,2.34375E-4,9.375E-4,-165.0557201563628
0,3,0.25,0.125,32,4.6875E-4,0.001875,-284.3476982296591
0,3,0.25,0.25,32,9.375E-4,0.00375,-473.6734538786761
0,3,0.25,0.5,32,0.001875,0.0075,-756.5884178573265
0,3,0.25,1,32,0.00375,0.015,-1138.3538032791762
0,3,0.5,0.00390625,32,2.9296875E-5,5.859375E-5,-28.495356203989672
0,3,0.5,0.0078125,32,5.859375E-5,1.171875E-4,-53.242739775237666
0,3,0.5,0.015625,32,1.171875E-4,2.34375E-4,-96.62978866530466
0,3,0.5,0.03125,32,2.34375E-4,4.6875E-4,-170.53208646165706
0,3,0.5,0.0625,32,4.6875E-4,9.375E-4,-294.9843623828574
0,3,0.5,0.125,32,9.375E-4,0.001875,-500.1156924480085
0,3,0.5,0.25,32,0.001875,0.00375,-822.7879437636373
0,3,0.5,0.5,32,0.00375,0.0075,-1279.1231825915838
0,3,0.5,1,32,0.0075,0.015,-1816.283369165878
0,3,1,0.00390625,32,5.859375E-5,5.859375E-5,-54.322433546896434
0,3,1,0.0078125,32,1.171875E-4,1.171875E-4,-98.91117885089085
