n,A,E,dd,d,hh,h,V
2,0,3,0.125,2.34E-04,0.125,0.001875,-219.0026455
2,0,3,0.125,4.69E-04,0.25,0.00375,-390.3221553
2,0,3,0.125,9.38E-04,0.5,0.0075,-656.0088003
2,0,3,0.125,0.001875,1,0.015,-1026.669149
2,0,3,0.25,1.46E-05,0.00390625,5.86E-05,-16.14956348
2,0,3,0.25,2.93E-05,0.0078125,1.17E-04,-31.92448902
2,0,3,0.25,5.86E-05,0.015625,2.34E-04,-62.5180315
2,0,3,0.25,1.17E-04,0.03125,4.69E-04,-120.7886204
2,0,3,0.25,2.34E-04,0.0625,9.38E-04,-228.3921564
2,0,3,0.25,4.69E-04,0.125,0.001875,-415.4404461
2,0,3,0.25,9.38E-04,0.25,0.00375,-715.641039
2,0,3,0.25,0.001875,0.5,0.0075,-1143.218481
2,0,3,0.25,0.00375,1,0.015,-1664.838007
2,0,3,0.5,2.93E-05,0.00390625,5.86E-05,-32.1107791
2,0,3,0.5,5.86E-05,0.0078125,1.17E-04,-63.1699535
2,0,3,0.5,1.17E-04,0.015625,2.34E-04,-122.8094126
2,0,3,0.5,2.34E-04,0.03125,4.69E-04,-234.4491942
2,0,3,0.5,4.69E-04,0.0625,9.38E-04,-433.2973601
2,0,3,0.5,9.38E-04,0.125,0.001875,-762.4265813
2,0,3,0.5,0.001875,0.25,0.00375,-1250.802833
2,0,3,0.5,0.00375,0.5,0.0075,-1866.592193
2,0,3,0.5,0.0075,1,0.015,-2497.106683
2,0,3,1,5.86E-05,0.00390625,5.86E-05,-63.48158046
2,0,3,1,1.17E-04,0.0078125,1.17E-04,-123.9587017
2,0,3,1,2.34E-04,0.015625,2.34E-04,-238.2510094
2,0,3,1,4.69E-04,0.03125,4.69E-04,-444.5057971
2,0,3,1,9.38E-04,0.0625,9.38E-04,-794.875887
2,0,3,1,0.001875,0.125,0.001875,-1333.260987
2,0,3,1,0.00375,0.25,0.00375,-2048.403419
2,0,3,1,0.0075,0.5,0.0075,-2816.736375
2,0,3,1,0.015,1,0.015,-3434.212394
2,0,5,0.03125,1.83E-06,0.00390625,5.86E-05,-2.038440814
2,0,5,0.03125,3.66E-06,0.0078125,1.17E-04,-4.052832944
2,0,5,0.03125,7.32E-06,0.015625,2.34E-04,-8.030670614
2,0,5,0.03125,1.46E-05,0.03125,4.69E-04,-15.84741895
2,0,5,0.03125,2.93E-05,0.0625,9.38E-04,-31.0044911
2,0,5,0.03125,5.86E-05,0.125,0.001875,-59.67984462
2,0,5,0.03125,1.17E-04,0.25,0.00375,-112.6222725
2,0,5,0.03125,2.34E-04,0.5,0.0075,-206.0033231
2,0,5,0.03125,4.69E-04,1,0.015,-359.9718816
2,0,5,0.0625,3.66E-06,0.00390625,5.86E-05,-4.0699086
2,0,5,0.0625,7.32E-06,0.0078125,1.17E-04,-8.089805084
2,0,5,0.0625,1.46E-05,0.015625,2.34E-04,-16.01357436
2,0,5,0.0625,2.93E-05,0.03125,4.69E-04,-31.52383464
2,0,5,0.0625,5.86E-05,0.0625,9.38E-04,-61.30302275
2,0,5,0.0625,1.17E-04,0.125,0.001875,-117.2094049
2,0,5,0.0625,2.34E-04,0.25,0.00375,-218.2061355
2,0,5,0.0625,4.69E-04,0.5,0.0075,-388.2121679
2,0,5,0.0625,9.38E-04,1,0.015,-651.4392585
2,0,5,0.125,7.32E-06,0.00390625,5.86E-05,-8.128865264
2,0,5,0.125,1.46E-05,0.0078125,1.17E-04,-16.13316016
2,0,5,0.125,2.93E-05,0.015625,2.34E-04,-31.84388162
2,0,5,0.125,5.86E-05,0.03125,4.69E-04,-62.36220255
2,0,5,0.125,1.17E-04,0.0625,9.38E-04,-120.4868299
2,0,5,0.125,2.34E-04,0.125,0.001875,-227.2540603
2,0,5,0.125,4.69E-04,0.25,0.00375,-412.0253598
2,0,5,0.125,9.38E-04,0.5,0.0075,-705.2994657
2,0,5,0.125,0.001875,1,0.015,-1117.676838
2,0,5,0.25,1.46E-05,0.00390625,5.86E-05,-16.1947996
2,0,5,0.25,2.93E-05,0.0078125,1.17E-04,-32.08162988
2,0,5,0.25,5.86E-05,0.015625,2.34E-04,-63.0352242
2,0,5,0.25,1.17E-04,0.03125,4.69E-04,-122.4258622
2,0,5,0.25,2.34E-04,0.0625,9.38E-04,-233.4206614
2,0,5,0.25,4.69E-04,0.125,0.001875,-429.4941271
2,0,5,0.25,9.38E-04,0.25,0.00375,-750.5462101
2,0,5,0.25,0.001875,0.5,0.0075,-1216.87467
2,0,5,0.25,0.00375,1,0.015,-1787.908738
2,0,5,0.5,2.93E-05,0.00390625,5.86E-05,-32.1921146
2,0,5,0.5,5.86E-05,0.0078125,1.17E-04,-63.45176925
2,0,5,0.5,1.17E-04,0.015625,2.34E-04,-123.7193453
2,0,5,0.5,2.34E-04,0.03125,4.69E-04,-237.2969671
2,0,5,0.5,4.69E-04,0.0625,9.38E-04,-441.5958356
2,0,5,0.5,9.38E-04,0.125,0.001875,-784.1813342
