n,A,E,dd,d,hh,h,V
2,0.0,2,0.0625,0.000234375,0.25,0.00375,-1611.1011696724
2,0.0,2,0.0625,0.00046875,0.5,0.0075,-1546.6358862635727
2,0.0,2,0.0625,0.0009375,1.0,0.015,-1502.6554426368652
2,0.0,2,0.125,7.32421875e-06,0.00390625,5.859375e-05,-845.5366388206298
2,0.0,2,0.125,1.46484375e-05,0.0078125,0.0001171875,-1074.804372745714
2,0.0,2,0.125,2.9296875e-05,0.015625,0.000234375,-1272.641620167503
2,0.0,2,0.125,5.859375e-05,0.03125,0.00046875,-1426.6737646514016
2,0.0,2,0.125,0.0001171875,0.0625,0.0009375,-1567.1489948711542
2,0.0,2,0.125,0.000234375,0.125,0.001875,-1666.3424199600167
2,0.0,2,0.125,0.00046875,0.25,0.00375,-1692.3216776889751
2,0.0,2,0.125,0.0009375,0.5,0.0075,-1670.6099547451042
2,0.0,2,0.125,0.001875,1.0,0.015,-1688.7011434535546
2,0.0,2,0.25,1.46484375e-05,0.00390625,5.859375e-05,-902.1716160431112
2,0.0,2,0.25,2.9296875e-05,0.0078125,0.0001171875,-1132.6652770930518
2,0.0,2,0.25,5.859375e-05,0.015625,0.000234375,-1331.399583883907
2,0.0,2,0.25,0.0001171875,0.03125,0.00046875,-1497.614065968409
2,0.0,2,0.25,0.000234375,0.0625,0.0009375,-1651.3891492142725
2,0.0,2,0.25,0.00046875,0.125,0.001875,-1768.332968519093
2,0.0,2,0.25,0.0009375,0.25,0.00375,-1843.2943787048248
2,0.0,2,0.25,0.001875,0.5,0.0075,-1896.63531407707
2,0.0,2,0.25,0.00375,1.0,0.015,-2020.0777195284288
2,0.0,2,0.5,2.9296875e-05,0.00390625,5.859375e-05,-991.229633666542
2,0.0,2,0.5,5.859375e-05,0.0078125,0.0001171875,-1223.0489584146794
2,0.0,2,0.5,0.0001171875,0.015625,0.000234375,-1426.6389886364004
2,0.0,2,0.5,0.000234375,0.03125,0.00046875,-1604.147774366415
2,0.0,2,0.5,0.00046875,0.0625,0.0009375,-1782.2880992152052
2,0.0,2,0.5,0.0009375,0.125,0.001875,-1952.4750721661744
2,0.0,2,0.5,0.001875,0.25,0.00375,-2110.933918895754
2,0.0,2,0.5,0.00375,0.5,0.0075,-2292.2171362111626
2,0.0,2,0.5,0.0075,1.0,0.015,-2571.533243893924
2,0.0,2,1.0,5.859375e-05,0.00390625,5.859375e-05,-1126.503899875626
2,0.0,2,1.0,0.0001171875,0.0078125,0.0001171875,-1354.873137550592
