A,E,dd,hh,n,d (m),h1 (m),es.V0_1-es.V0_2 (V)
0,1,0.03125,0.00390625,8,1.8310546875E-6,5.859375E-5,-282.0893632451523
0,1,0.03125,0.0078125,8,3.662109375E-6,1.171875E-4,-348.95292609378316
0,1,0.03125,0.015625,8,7.32421875E-6,2.34375E-4,-403.2974404442831
0,1,0.03125,0.03125,8,1.46484375E-5,4.6875E-4,-432.6648166323523
0,1,0.03125,0.0625,8,2.9296875E-5,9.375E-4,-440.1474768859549
0,1,0.03125,0.125,8,5.859375E-5,0.001875,-424.0098396279725
0,1,0.03125,0.25,8,1.171875E-4,0.00375,-410.480066015589
0,1,0.03125,0.5,8,2.34375E-4,0.0075,-422.43671208032595
0,1,0.03125,1,8,4.6875E-4,0.015,-458.98757300098964
0,1,0.0625,0.00390625,8,3.662109375E-6,5.859375E-5,-284.0986769086818
0,1,0.0625,0.0078125,8,7.32421875E-6,1.171875E-4,-353.66943121408246
0,1,0.0625,0.015625,8,1.46484375E-5,2.34375E-4,-408.23017234276455
0,1,0.0625,0.03125,8,2.9296875E-5,4.6875E-4,-441.1117464289096
0,1,0.0625,0.0625,8,5.859375E-5,9.375E-4,-452.3714061245758
0,1,0.0625,0.125,8,1.171875E-4,0.001875,-446.0130014303339
0,1,0.0625,0.25,8,2.34375E-4,0.00375,-445.7921583958116
0,1,0.0625,0.5,8,4.6875E-4,0.0075,-478.94400718109955
0,1,0.0625,1,8,9.375E-4,0.015,-553.8338529817131
0,1,0.125,0.00390625,8,7.32421875E-6,5.859375E-5,-292.69627169156206
0,1,0.125,0.0078125,8,1.46484375E-5,1.171875E-4,-363.15207306581317
0,1,0.125,0.015625,8,2.9296875E-5,2.34375E-4,-419.37061788902577
0,1,0.125,0.03125,8,5.859375E-5,4.6875E-4,-456.4130096594083
0,1,0.125,0.0625,8,1.171875E-4,9.375E-4,-477.3327512324688
0,1,0.125,0.125,8,2.34375E-4,0.001875,-485.5145769315609
0,1,0.125,0.25,8,4.6875E-4,0.00375,-513.5511003222119
0,1,0.125,0.5,8,9.375E-4,0.0075,-598.3336789374634
0,1,0.125,1,8,0.001875,0.015,-754.0013338533847
0,1,0.25,0.00390625,8,1.46484375E-5,5.859375E-5,-306.8888432654903
0,1,0.25,0.0078125,8,2.9296875E-5,1.171875E-4,-378.7127388034205
0,1,0.25,0.015625,8,5.859375E-5,2.34375E-4,-439.65532934917485
0,1,0.25,0.03125,8,1.171875E-4,4.6875E-4,-485.75663071868007
0,1,0.25,0.0625,8,2.34375E-4,9.375E-4,-524.6051822601017
0,1,0.25,0.125,8,4.6875E-4,0.001875,-565.1585977004227
0,1,0.25,0.25,8,9.375E-4,0.00375,-656.1395856059174
0,1,0.25,0.5,8,0.001875,0.0075,-843.3909033598238
0,1,0.25,1,8,0.00375,0.015,-1138.9903464271051
0,1,0.5,0.00390625,8,2.9296875E-5,5.859375E-5,-332.73590905059206
0,1,0.5,0.0078125,8,5.859375E-5,1.171875E-4,-409.2303473542638
0,1,0.5,0.015625,8,1.171875E-4,2.34375E-4,-478.7647087807562
0,1,0.5,0.03125,8,2.34375E-4,4.6875E-4,-543.5061417084302
0,1,0.5,0.0625,8,4.6875E-4,9.375E-4,-613.751374785059
0,1,0.5,0.125,8,9.375E-4,0.001875,-725.9140023473726
