n,A,E,dd,d,hh,h,V
3,0,1.5,0.075,0.00002250 ,0.02,0.00030 ,-999.82174617905400 
3,0.25,1.5,0.075,0.00002250 ,0.02,0.00030 ,-720.79005395015500 
3,0.5,1.5,0.075,0.00002250 ,0.02,0.00030 ,-441.75836172126000 
3,0.75,1.5,0.075,0.00002250 ,0.02,0.00030 ,-162.72666949236300 
3,1,1.5,0.075,0.00002250 ,0.02,0.00030 ,116.30502273653300 
3,0,6,0.05,0.00000750 ,0.01,0.00015 ,-652.48866471665800 
3,0.25,6,0.05,0.00000750 ,0.01,0.00015 ,-484.68523312600300 
3,0.5,6,0.05,0.00000750 ,0.01,0.00015 ,-316.88180153534500 
3,0.75,6,0.05,0.00000750 ,0.01,0.00015 ,-149.07836994468900 
3,1,6,0.05,0.00000750 ,0.01,0.00015 ,18.72506164596620 
3,0,8,0.15,0.00009000 ,0.04,0.00060 ,-943.12102747852500 
3,0.25,8,0.15,0.00009000 ,0.04,0.00060 ,-693.59981596977700 
3,0.5,8,0.15,0.00009000 ,0.04,0.00060 ,-444.07860446102800 
3,0.75,8,0.15,0.00009000 ,0.04,0.00060 ,-194.55739295227700 
3,1,8,0.15,0.00009000 ,0.04,0.00060 ,54.96381855647070 
4,0,1.5,0.075,0.00002250 ,0.02,0.00030 ,-782.80451409294500 
4,0.25,1.5,0.075,0.00002250 ,0.02,0.00030 ,-557.80221008792900 
4,0.5,1.5,0.075,0.00002250 ,0.02,0.00030 ,-332.79990608291500 
4,0.75,1.5,0.075,0.00002250 ,0.02,0.00030 ,-107.79760207790000 
4,1,1.5,0.075,0.00002250 ,0.02,0.00030 ,117.20470192711500 
4,0,6,0.05,0.00000750 ,0.01,0.00015 ,-506.72285606223900 
4,0.25,6,0.05,0.00000750 ,0.01,0.00015 ,-375.30694526473700 
4,0.5,6,0.05,0.00000750 ,0.01,0.00015 ,-243.89103446723800 
4,0.75,6,0.05,0.00000750 ,0.01,0.00015 ,-112.47512366973600 
4,1,6,0.05,0.00000750 ,0.01,0.00015 ,18.94078712776320 
4,0,8,0.15,0.00009000 ,0.04,0.00060 ,-745.74551909664500 
4,0.25,8,0.15,0.00009000 ,0.04,0.00060 ,-545.31166264559600 
4,0.5,8,0.15,0.00009000 ,0.04,0.00060 ,-344.87780619454800 
4,0.75,8,0.15,0.00009000 ,0.04,0.00060 ,-144.44394974349900 
4,1,8,0.15,0.00009000 ,0.04,0.00060 ,55.98990670754880 
7,0,1.5,0.075,0.00002250 ,0.02,0.00030 ,-481.19953592554800 
7,0.25,1.5,0.075,0.00002250 ,0.02,0.00030 ,-331.13611779356900 
7,0.5,1.5,0.075,0.00002250 ,0.02,0.00030 ,-181.07269966159100 
7,0.75,1.5,0.075,0.00002250 ,0.02,0.00030 ,-31.00928152961300 
7,1,1.5,0.075,0.00002250 ,0.02,0.00030 ,119.05413660236600 
7,0,6,0.05,0.00000750 ,0.01,0.00015 ,-308.51388481971500 
7,0.25,6,0.05,0.00000750 ,0.01,0.00015 ,-226.53517433321000 
7,0.5,6,0.05,0.00000750 ,0.01,0.00015 ,-144.55646384670300 
7,0.75,6,0.05,0.00000750 ,0.01,0.00015 ,-62.57775336019910 
7,1,6,0.05,0.00000750 ,0.01,0.00015 ,19.40095712630670 
7,0,8,0.15,0.00009000 ,0.04,0.00060 ,-472.72267067639100 
