A,E,dd,hh,n,d (m),h1 (m),es.V0_1-es.V0_2 (V)
0,2,0.5,0.0625,64,4.69E-04,9.38E-04,-265.3199192
0,2,0.5,0.125,64,9.38E-04,0.001875,-453.6543183
0,2,0.5,0.25,64,0.001875,0.00375,-759.6662626
0,2,0.5,0.5,64,0.00375,0.0075,-1190.508844
0,2,0.5,1,64,0.0075,0.015,-1696.882068
0,2,1,0.00390625,64,5.86E-05,5.86E-05,-83.43620485
0,2,1,0.0078125,64,1.17E-04,1.17E-04,-112.2839433
0,2,1,0.015625,64,2.34E-04,2.34E-04,-166.5171415
0,2,1,0.03125,64,4.69E-04,4.69E-04,-273.6968159
0,2,1,0.0625,64,9.38E-04,9.38E-04,-475.0351475
0,2,1,0.125,64,0.001875,0.001875,-814.5934078
0,2,1,0.25,64,0.00375,0.00375,-1320.224688
0,2,1,0.5,64,0.0075,0.0075,-1945.364592
0,2,1,1,64,0.015,0.015,-2533.05084
0.25,1,0.03125,0.00390625,64,1.8310546875E-6,5.859375E-5,-29.76024300790128
0.25,1,0.03125,0.0078125,64,3.662109375E-6,1.171875E-4,-23.20213781522486
0.25,1,0.03125,0.015625,64,7.32421875E-6,2.34375E-4,-7.1465563644842955
0.25,1,0.03125,0.03125,64,1.46484375E-5,4.6875E-4,23.755728270456636
0.25,1,0.03125,0.0625,64,2.9296875E-5,9.375E-4,78.0023288151843
0.25,1,0.03125,0.125,64,5.859375E-5,0.001875,171.71683427908013
0.25,1,0.03125,0.25,64,1.171875E-4,0.00375,318.43099509599926
0.25,1,0.03125,0.5,64,2.34375E-4,0.0075,525.8034146348216
0.25,1,0.03125,1,64,4.6875E-4,0.015,763.178378244347
0.25,1,0.0625,0.00390625,64,3.662109375E-6,5.859375E-5,-30.543053320213573
0.25,1,0.0625,0.0078125,64,7.32421875E-6,1.171875E-4,-24.53775217433494
0.25,1,0.0625,0.015625,64,1.46484375E-5,2.34375E-4,-9.488063661924189
0.25,1,0.0625,0.03125,64,2.9296875E-5,4.6875E-4,19.309581339969682
0.25,1,0.0625,0.0625,64,5.859375E-5,9.375E-4,69.03755360343737
0.25,1,0.0625,0.125,64,1.171875E-4,0.001875,153.01336146481506
0.25,1,0.0625,0.25,64,2.34375E-4,0.00375,282.7040650384278
0.25,1,0.0625,0.5,64,4.6875E-4,0.0075,459.4365778631509
0.25,1,0.0625,1,64,9.375E-4,0.015,646.4194692598328
