A,E,dd,hh,n,d (m),h1 (m),es.V0_1-es.V0_2 (V)
0,1,0.03125,0.00390625,4,1.8310546875E-6,5.859375E-5,-1.9656112832572976
0,1,0.03125,0.0078125,4,3.662109375E-6,1.171875E-4,-3.825593329037612
0,1,0.03125,0.015625,4,7.32421875E-6,2.34375E-4,-7.328353133634581
0,1,0.03125,0.03125,4,1.46484375E-5,4.6875E-4,-13.706595200640624
0,1,0.03125,0.0625,4,2.9296875E-5,9.375E-4,-24.985763230362767
0,1,0.03125,0.125,4,5.859375E-5,0.001875,-44.097879116028366
0,1,0.03125,0.25,4,1.171875E-4,0.00375,-76.33558476765273
0,1,0.03125,0.5,4,2.34375E-4,0.0075,-130.83160810623565
0,1,0.03125,1,4,4.6875E-4,0.015,-221.6434826870487
0,1,0.0625,0.00390625,4,3.662109375E-6,5.859375E-5,-3.924282898939463
0,1,0.0625,0.0078125,4,7.32421875E-6,1.171875E-4,-7.637435565879851
0,1,0.0625,0.015625,4,1.46484375E-5,2.34375E-4,-14.611418612820845
0,1,0.0625,0.03125,4,2.9296875E-5,4.6875E-4,-27.323792221442986
0,1,0.0625,0.0625,4,5.859375E-5,9.375E-4,-49.51466324873073
0,1,0.0625,0.125,4,1.171875E-4,0.001875,-87.09274457999743
0,1,0.0625,0.25,4,2.34375E-4,0.00375,-149.3147723176179
0,1,0.0625,0.5,4,4.6875E-4,0.0075,-249.38111587655143
0,1,0.0625,1,4,9.375E-4,0.015,-410.6190835133128
0,1,0.125,0.00390625,4,7.32421875E-6,5.859375E-5,-7.834564984991005
0,1,0.125,0.0078125,4,1.46484375E-5,1.171875E-4,-15.241226198996815
0,1,0.125,0.015625,4,2.9296875E-5,2.34375E-4,-29.056999577780594
0,1,0.125,0.03125,4,5.859375E-5,4.6875E-4,-54.072248148859394
0,1,0.125,0.0625,4,1.171875E-4,9.375E-4,-97.66496760890283
0,1,0.125,0.125,4,2.34375E-4,0.001875,-170.16370080424414
0,1,0.125,0.25,4,4.6875E-4,0.00375,-285.28676187335077
0,1,0.125,0.5,4,9.375E-4,0.0075,-464.2278192443715
0,1,0.125,1,4,0.001875,0.015,-730.7011657451158
0,1,0.25,0.00390625,4,1.46484375E-5,5.859375E-5,-15.634932707320345
0,1,0.25,0.0078125,4,2.9296875E-5,1.171875E-4,-30.237473246499192
0,1,0.25,0.015625,4,5.859375E-5,2.34375E-4,-57.56847348010071
0,1,0.25,0.03125,4,1.171875E-4,4.6875E-4,-106.44309216113425
0,1,0.25,0.0625,4,2.34375E-4,9.375E-4,-190.3292447068318
0,1,0.25,0.125,4,4.6875E-4,0.001875,-324.8298171029484
0,1,0.25,0.25,4,9.375E-4,0.00375,-531.1899796683113
0,1,0.25,0.5,4,0.001875,0.0075,-830.5034146110947
0,1,0.25,1,4,0.00375,0.015,-1230.7330625285872
0,1,0.5,0.00390625,4,2.9296875E-5,5.859375E-5,-31.005882900652267
0,1,0.5,0.0078125,4,5.859375E-5,1.171875E-4,-59.77662174239994
0,1,0.5,0.015625,4,1.171875E-4,2.34375E-4,-112.91105369839833
0,1,0.5,0.03125,4,2.34375E-4,4.6875E-4,-206.57754104371946
0,1,0.5,0.0625,4,4.6875E-4,9.375E-4,-361.6619293510523
0,1,0.5,0.125,4,9.375E-4,0.001875,-602.4009628170498
0,1,0.5,0.25,4,0.001875,0.00375,-949.1628404847213
0,1,0.5,0.5,4,0.00375,0.0075,-1405.3502308787688
0,1,0.5,1,4,0.0075,0.015,-1933.1430001233175
0,1,1,0.00390625,4,5.859375E-5,5.859375E-5,-61.161986937336565
0,1,1,0.0078125,4,1.171875E-4,1.171875E-4,-117.05352755271183
0,1,1,0.015625,4,2.34375E-4,2.34375E-4,-218.18884530482097
0,1,1,0.03125,4,4.6875E-4,4.6875E-4,-390.34480897095983
