A,E,dd,hh,n,d (m),h1 (m),es.V0_1-es.V0_2 (V)
0,1,0.03125,0.00390625,8,1.8310546875E-6,5.859375E-5,-1.9128737188623122
0,1,0.03125,0.0078125,8,3.662109375E-6,1.171875E-4,-3.6787948025836728
0,1,0.03125,0.015625,8,7.32421875E-6,2.34375E-4,-6.948913272625887
0,1,0.03125,0.03125,8,1.46484375E-5,4.6875E-4,-12.768421213972486
0,1,0.03125,0.0625,8,2.9296875E-5,9.375E-4,-23.00733134110184
0,1,0.03125,0.125,8,5.859375E-5,0.001875,-40.58447145425461
0,1,0.03125,0.25,8,1.171875E-4,0.00375,-71.14006958683163
0,1,0.03125,0.5,8,2.34375E-4,0.0075,-123.57478623749225
0,1,0.03125,1,8,4.6875E-4,0.015,-208.34367054813077
0,1,0.0625,0.00390625,8,3.662109375E-6,5.859375E-5,-3.8200441135717647
0,1,0.0625,0.0078125,8,7.32421875E-6,1.171875E-4,-7.344318965019345
0,1,0.0625,0.015625,8,1.46484375E-5,2.34375E-4,-13.860468378985367
0,1,0.0625,0.03125,8,2.9296875E-5,4.6875E-4,-25.390457985271823
0,1,0.0625,0.0625,8,5.859375E-5,9.375E-4,-45.38200773845185
0,1,0.0625,0.125,8,1.171875E-4,0.001875,-79.72312158814107
0,1,0.0625,0.25,8,2.34375E-4,0.00375,-138.28463645985588
0,1,0.0625,0.5,8,4.6875E-4,0.0075,-233.5628612668168
0,1,0.0625,1,8,9.375E-4,0.015,-380.5698494163492
0,1,0.125,0.00390625,8,7.32421875E-6,5.859375E-5,-7.61419938130377
0,1,0.125,0.0078125,8,1.46484375E-5,1.171875E-4,-14.626684163808413
0,1,0.125,0.015625,8,2.9296875E-5,2.34375E-4,-27.484116138470725
0,1,0.125,0.03125,8,5.859375E-5,4.6875E-4,-50.16777045849372
0,1,0.125,0.0625,8,1.171875E-4,9.375E-4,-89.0321550784292
0,1,0.125,0.125,8,2.34375E-4,0.001875,-154.62608274373525
0,1,0.125,0.25,8,4.6875E-4,0.00375,-261.71703302264166
0,1,0.125,0.5,8,9.375E-4,0.0075,-429.10102071937183
0,1,0.125,1,8,0.001875,0.015,-667.6369060793611
0,1,0.25,0.00390625,8,1.46484375E-5,5.859375E-5,-15.140148418148158
0,1,0.25,0.0078125,8,2.9296875E-5,1.171875E-4,-28.978794987498098
0,1,0.25,0.015625,8,5.859375E-5,2.34375E-4,-54.15393747756722
0,1,0.25,0.03125,8,1.171875E-4,4.6875E-4,-98.10050410362186
0,1,0.25,0.0625,8,2.34375E-4,9.375E-4,-172.44444908720914
0,1,0.25,0.125,8,4.6875E-4,0.001875,-292.68879445882845
0,1,0.25,0.25,8,9.375E-4,0.00375,-482.17225670010066
0,1,0.25,0.5,8,0.001875,0.0075,-758.588745446679
0,1,0.25,1,8,0.00375,0.015,-1115.8069625738847
0,1,0.5,0.00390625,8,2.9296875E-5,5.859375E-5,-29.97855278637047
0,1,0.5,0.0078125,8,5.859375E-5,1.171875E-4,-56.99750764835467
0,1,0.5,0.015625,8,1.171875E-4,2.34375E-4,-105.51555016558903
0,1,0.5,0.03125,8,2.34375E-4,4.6875E-4,-188.75216763100576
0,1,0.5,0.0625,8,4.6875E-4,9.375E-4,-324.4950909365839
0,1,0.5,0.125,8,9.375E-4,0.001875,-537.6713450353773
0,1,0.5,0.25,8,0.001875,0.00375,-854.6173824828206
0,1,0.5,0.5,8,0.00375,0.0075,-1278.74587207076
0,1,0.5,1,8,0.0075,0.015,-1770.7564187279245
0,1,1,0.00390625,8,5.859375E-5,5.859375E-5,-58.8167494973967
0,1,1,0.0078125,8,1.171875E-4,1.171875E-4,-110.55250391977954
0,1,1,0.015625,8,2.34375E-4,2.34375E-4,-201.63257546461355
0,1,1,0.03125,8,4.6875E-4,4.6875E-4,-352.2595348275131
0,1,1,0.0625,8,9.375E-4,9.375E-4,-590.6214382016204
0,1,1,0.125,8,0.001875,0.001875,-946.9292774814301
0,1,1,0.25,8,0.00375,0.00375,-1441.257852152899
0,1,1,0.5,8,0.0075,0.0075,-2038.3952504331633
0,1,1,1,8,0.015,0.015,-2614.402613211175
0,2,0.03125,0.00390625,8,1.8310546875E-6,5.859375E-5,-1.9666413694624225
0,2,0.03125,0.0078125,8,3.662109375E-6,1.171875E-4,-3.844797631712767
0,2,0.03125,0.015625,8,7.32421875E-6,2.34375E-4,-7.441460782540012
0,2,0.03125,0.03125,8,1.46484375E-5,4.6875E-4,-14.129239037031692
0,2,0.03125,0.0625,8,2.9296875E-5,9.375E-4,-26.458667891660333
0,2,0.03125,0.125,8,5.859375E-5,0.001875,-48.38829846175821
0,2,0.03125,0.25,8,1.171875E-4,0.00375,-86.9674238416863
0,2,0.03125,0.5,8,2.34375E-4,0.0075,-152.27357397801387
0,2,0.03125,1,8,4.6875E-4,0.015,-254.47011999078546
0,2,0.0625,0.00390625,8,3.662109375E-6,5.859375E-5,-3.9246374420623127
0,2,0.0625,0.0078125,8,7.32421875E-6,1.171875E-4,-7.671329963213536
0,2,0.0625,0.015625,8,1.46484375E-5,2.34375E-4,-14.811439765857072
0,2,0.0625,0.03125,8,2.9296875E-5,4.6875E-4,-28.024044792257925
0,2,0.0625,0.0625,8,5.859375E-5,9.375E-4,-51.95940332039715
0,2,0.0625,0.125,8,1.171875E-4,0.001875,-94.22046736130001
0,2,0.0625,0.25,8,2.34375E-4,0.00375,-166.40294980746228
0,2,0.0625,0.5,8,4.6875E-4,0.0075,-281.35208352000427
0,2,0.0625,1,8,9.375E-4,0.015,-451.1603812215809
0,2,0.125,0.00390625,8,7.32421875E-6,5.859375E-5,-7.824355651279731
0,2,0.125,0.0078125,8,1.46484375E-5,1.171875E-4,-15.252855718775232
0,2,0.125,0.015625,8,2.9296875E-5,2.34375E-4,-29.325130565532522
0,2,0.125,0.03125,8,5.859375E-5,4.6875E-4,-55.09422581593422
0,2,0.125,0.0625,8,1.171875E-4,9.375E-4,-101.10800501080308
0,2,0.125,0.125,8,2.34375E-4,0.001875,-180.19700983896968
0,2,0.125,0.25,8,4.6875E-4,0.00375,-307.90926225491955
0,2,0.125,0.5,8,9.375E-4,0.0075,-501.70073114537115
0,2,0.125,1,8,0.001875,0.015,-765.7638901315768
0,2,0.25,0.00390625,8,1.46484375E-5,5.859375E-5,-15.531201098930921
0,2,0.25,0.0078125,8,2.9296875E-5,1.171875E-4,-30.165721006104235
0,2,0.25,0.015625,8,5.859375E-5,2.34375E-4,-57.57002928523488
0,2,0.25,0.03125,8,1.171875E-4,4.6875E-4,-106.93240729559308
0,2,0.25,0.0625,8,2.34375E-4,9.375E-4,-193.1350509871736
0,2,0.25,0.125,8,4.6875E-4,0.001875,-333.6689619792951
0,2,0.25,0.25,8,9.375E-4,0.00375,-550.7666930250095
0,2,0.25,0.5,8,0.001875,0.0075,-857.5694267071372
0,2,0.25,1,8,0.00375,0.015,-1241.7027104881097
0,2,0.5,0.00390625,8,2.9296875E-5,5.859375E-5,-30.698331795898724
0,2,0.5,0.0078125,8,5.859375E-5,1.171875E-4,-59.127826358477144
0,2,0.5,0.015625,8,1.171875E-4,2.34375E-4,-111.52159621936869
0,2,0.5,0.03125,8,2.34375E-4,4.6875E-4,-203.60701036739118
0,2,0.5,0.0625,8,4.6875E-4,9.375E-4,-356.69593546101
0,2,0.5,0.125,8,9.375E-4,0.001875,-596.2406906463766
0,2,0.5,0.25,8,0.001875,0.00375,-945.1555136581244
0,2,0.5,0.5,8,0.00375,0.0075,-1402.626249522773
0,2,0.5,1,8,0.0075,0.015,-1918.971589309044
0,2,1,0.00390625,8,5.859375E-5,5.859375E-5,-60.0399668961341
0,2,1,0.0078125,8,1.171875E-4,1.171875E-4,-114.20982658256459
0,2,1,0.015625,8,2.34375E-4,2.34375E-4,-211.21268558091634
0,2,1,0.03125,8,4.6875E-4,4.6875E-4,-374.5389494661308
0,2,1,0.0625,8,9.375E-4,9.375E-4,-634.9608217514915
0,2,1,0.125,8,0.001875,0.001875,-1021.2665950301833
0,2,1,0.25,8,0.00375,0.00375,-1549.6506632361625
0,2,1,0.5,8,0.0075,0.0075,-2180.884070990749
0,2,1,1,8,0.015,0.015,-2768.7751057782443
0,3,0.03125,0.00390625,8,1.8310546875E-6,5.859375E-5,-1.985266542755653
0,3,0.03125,0.0078125,8,3.662109375E-6,1.171875E-4,-3.903734092305764
0,3,0.03125,0.015625,8,7.32421875E-6,2.34375E-4,-7.622765068536332
0,3,0.03125,0.03125,8,1.46484375E-5,4.6875E-4,-14.655009424999518
0,3,0.03125,0.0625,8,2.9296875E-5,9.375E-4,-27.883801616569798
0,3,0.03125,0.125,8,5.859375E-5,0.001875,-51.86486199388543
0,3,0.03125,0.25,8,1.171875E-4,0.00375,-94.56607132619865
0,3,0.03125,0.5,8,2.34375E-4,0.0075,-167.19669488148935
0,3,0.03125,1,8,4.6875E-4,0.015,-280.3341869093733
0,3,0.0625,0.00390625,8,3.662109375E-6,5.859375E-5,-3.9602701500727733
0,3,0.0625,0.0078125,8,7.32421875E-6,1.171875E-4,-7.784695351156688
0,3,0.0625,0.015625,8,1.46484375E-5,2.34375E-4,-15.160033125928578
0,3,0.0625,0.03125,8,2.9296875E-5,4.6875E-4,-29.027504548044103
0,3,0.0625,0.0625,8,5.859375E-5,9.375E-4,-54.6206094232348
0,3,0.0625,0.125,8,1.171875E-4,0.001875,-100.56935182214949
0,3,0.0625,0.25,8,2.34375E-4,0.00375,-179.7962458441327
0,3,0.0625,0.5,8,4.6875E-4,0.0075,-306.15139298632783
0,3,0.0625,1,8,9.375E-4,0.015,-491.2555677888615
0,3,0.125,0.00390625,8,7.32421875E-6,5.859375E-5,-7.892145774052125
0,3,0.125,0.0078125,8,1.46484375E-5,1.171875E-4,-15.469334392295803
0,3,0.125,0.015625,8,2.9296875E-5,2.34375E-4,-29.98387267750727
0,3,0.125,0.03125,8,5.859375E-5,4.6875E-4,-56.92986435471235
0,3,0.125,0.0625,8,1.171875E-4,9.375E-4,-105.8962419960174
0,3,0.125,0.125,8,2.34375E-4,0.001875,-191.17771509793454
0,3,0.125,0.25,8,4.6875E-4,0.00375,-329.70137400782517
0,3,0.125,0.5,8,9.375E-4,0.0075,-539.3827614749023
0,3,0.125,1,8,0.001875,0.015,-823.148397803857
0,3,0.25,0.00390625,8,1.46484375E-5,5.859375E-5,-15.655915180663385
0,3,0.25,0.0078125,8,2.9296875E-5,1.171875E-4,-30.564693501016183
0,3,0.25,0.015625,8,5.859375E-5,2.34375E-4,-58.759346249953246
0,3,0.25,0.03125,8,1.171875E-4,4.6875E-4,-110.15427522134942
0,3,0.25,0.0625,8,2.34375E-4,9.375E-4,-201.20673716487266
0,3,0.25,0.125,8,4.6875E-4,0.001875,-351.0148897302288
0,3,0.25,0.25,8,9.375E-4,0.00375,-582.8324596294984
0,3,0.25,0.5,8,0.001875,0.0075,-909.9416133107445
0,3,0.25,1,8,0.00375,0.015,-1317.9073335078315
0,3,0.5,0.00390625,8,2.9296875E-5,5.859375E-5,-30.922771567745997
0,3,0.5,0.0078125,8,5.859375E-5,1.171875E-4,-59.83075222323738
0,3,0.5,0.015625,8,1.171875E-4,2.34375E-4,-113.54213359660845
0,3,0.5,0.03125,8,2.34375E-4,4.6875E-4,-208.89169607522769
