validation_dimension,qsc_r2_log10,qsc_r2_log10_std,invc_r2_log10,invc_r2_log10_std,foms_r2_log10,foms_r2_log10_std,consistency_pearson_r,consistency_pearson_r_std,sample_size,role
Test,0.9897663472220302,,0.9966408077161759,,0.9816584475338459,,0.9684131145477295,,195,In-distribution fitting capability
5-fold CV,0.9862905042245984,0.0041426379453014806,0.9947934369090945,0.0025687466125106904,0.9754284527152777,0.010802653566005778,0.9518808126449585,0.016405683010816574,5 folds,Interpolation stability
Unseen structural-dielectric combinations,0.9682319160869882,,0.9893911370299392,,0.9139147878485161,,0.9656766389781469,,43,Design extrapolation usability
